trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-151.71319688743066,"{0: 15, 1: 4, 2: 1, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-54.496732555394544,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,5,-18.745697544732646,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-136.19042770684453,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,13,-35.38592279715551,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,2.329378570437836,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-159.3030936153334,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-59.88589835669771,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,8.909390849173615,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-111.06356567634994,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-115.60694276516688,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-51.58079866998183,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-104.0361439390836,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,14,18.575660545235337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,15,-12.217792783559442,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-32.46996144354312,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,31.93958825075054,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,-14.508171286352898,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,22,16.470340412291424,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,26.544697843044197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-0.18420665246044887,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,8,12.976364160383453,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,-18.529523953926375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,12,14.145457756602932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,10.89127319000937,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,-15.621484608572466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-15.101782960934791,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,23.060077499058455,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,20,27.273552733150233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,9,-16.22598149969313,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
